Income,Total,9th grade,"9th to 12th grade",High school graduate,"college, no degree",Associate degree,Bachelor's degree or more,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
Total,80086,2679,4739,20577,13735,8770,29586,18064,8425,1190,1906
5000,1946,155,251,683,332,134,392,271,98,10,14
10000,1139,110,187,425,211,79,127,90,25,8,4
15000,1709,156,265,606,304,155,223,159,41,7,16
20000,2211,213,346,803,409,192,249,180,59,7,2
25000,2866,273,402,1002,565,283,342,241,85,8,8
30000,2948,204,361,1087,533,299,464,328,104,9,23
35000,3336,223,369,1194,694,391,465,329,118,9,9
40000,3156,156,233,1164,670,367,566,405,117,18,26
45000,3112,161,266,1140,611,372,562,423,110,11,18
50000,2968,126,217,1003,561,377,684,491,139,25,28
55000,2946,133,240,986,533,394,659,453,162,9,36
60000,2532,84,150,789,501,321,687,489,155,10,33
65000,2695,93,160,825,519,308,791,556,159,41,35
70000,2635,67,142,815,559,317,736,539,174,15,7
75000,2540,67,143,700,502,313,814,523,216,26,50
80000,2507,48,124,721,461,324,829,567,203,24,35
85000,2615,67,123,667,516,319,924,595,269,28,32
90000,2210,56,86,569,399,282,819,537,218,24,39
95000,2200,35,97,568,371,268,860,543,254,22,41
100000,1978,42,77,441,376,243,800,557,185,14,44
105000,1996,31,60,447,387,243,829,527,225,22,54
110000,1589,24,53,397,269,189,657,410,186,17,44
115000,1728,18,45,384,298,231,752,494,198,35,25
120000,1459,18,21,332,259,174,655,419,199,11,26
125000,1459,6,21,285,248,201,698,439,210,25,23
130000,1386,9,40,236,209,209,682,436,202,21,23
135000,1362,13,28,224,256,140,701,409,228,18,46
140000,1162,13,22,174,211,129,613,364,186,24,39
145000,1075,5,27,170,176,95,603,359,209,12,22
150000,1020,12,23,133,133,124,595,330,185,19,61
155000,1259,14,18,172,203,107,745,444,207,20,74
160000,827,1,17,117,135,86,471,272,159,9,31
165000,798,2,8,115,130,85,457,265,160,9,24
170000,788,7,12,100,87,128,454,252,160,16,25
175000,700,3,10,81,73,66,468,273,162,13,20
180000,711,3,8,89,97,70,444,240,157,15,32
185000,668,2,2,100,98,62,404,217,134,25,28
190000,551,0,7,62,61,61,360,219,90,20,31
195000,547,7,10,44,65,63,358,189,116,27,26
200000,485,3,9,57,44,35,337,160,121,20,36
205000 and higher,8266,22,60,668,672,533,6312,3070,2039,489,714
